Covariate,Category,Uni_HR (95% CI),Uni_P,Multi_HR (95% CI),Multi_P
T_Stage_Simple,T1 (Ref),1.00 (Reference),-,1.00 (Reference),-
,T2,1.37 (1.35-1.38),<0.001,1.34 (1.33-1.36),<0.001
,T3,1.97 (1.94-2.01),<0.001,1.86 (1.82-1.90),<0.001
,T4,4.62 (4.52-4.72),<0.001,3.66 (3.58-3.74),<0.001
N_Stage_Simple,N0 (Ref),1.00 (Reference),-,1.00 (Reference),-
,N1,1.37 (1.35-1.38),<0.001,1.32 (1.30-1.34),<0.001
,N2,1.89 (1.85-1.93),<0.001,1.65 (1.62-1.69),<0.001
,N3,2.87 (2.81-2.94),<0.001,2.26 (2.21-2.32),<0.001
Grade_Simple,I (Ref),1.00 (Reference),-,1.00 (Reference),-
,II,0.94 (0.92-0.95),<0.001,0.93 (0.91-0.94),<0.001
,III,1.34 (1.32-1.37),<0.001,1.30 (1.27-1.33),<0.001
